"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.119154893914909,0.0352536359459176,0.0500590371368233,0.188250750692994,0.000725037531974829
"2","Weighted median",0.0729678037951069,0.0346574782305923,0.00504039466816494,0.140895212922049,0.0352566314694084
"3","Penalized weighted median",0.100332487882398,0.0348978214433613,0.0319340147145005,0.168730961050296,0.00403981620483703
"4","IVW",0.0734545717988327,0.066992077216539,-0.0578474867951101,0.204756630392775,0.27287465394344
"5","Penalized IVW",0.132448733668739,0.0234268612058511,0.0865329294344525,0.178364537903026,1.57018940975001e-08
"6","Robust IVW",0.0734477693854788,0.0715792349147061,-0.0668449530882771,0.213740491859235,0.304842366713963
"7","Penalized robust IVW",0.150898001395876,0.0480637218342715,0.0566948376377526,0.245101165154,0.00169213021354347
"8","MR-Egger",-0.0700195484280667,0.270703630702638,-0.600588915089468,0.460549818233334,0.795899445273809
"9","(intercept)",0.00221731060552672,0.00405197469239846,-0.00572441385784202,0.0101590350688955,0.584229459826176
"10","Penalized MR-Egger",0.0531041276525093,0.152815279811178,-0.24640831706481,0.352616572369829,0.728211698183561
"11","(intercept)",0.000694144056320079,0.00207018961359664,-0.00336335302749824,0.00475164114013839,0.73739534011657
"12","Robust MR-Egger",-0.260175235904971,0.435009375150755,-1.11277794413772,0.592427472327781,0.549779148112893
"13","(intercept)",0.00464313484509496,0.00583825144757146,-0.00679962772483393,0.0160858974150239,0.426441656384069
"14","Penalized robust MR-Egger",0.430982345151177,0.299397984062701,-0.155826920655614,1.01779161095797,0.150009905642746
"15","(intercept)",-0.00366742219332847,0.00389661169134308,-0.0113046407700986,0.00396979638344167,0.34661141417722
